fourcc,description,compressed,width,height,megapixels,nominal_bpp,fps,frame_interval_s,estimated_raw_bw_mbps,estimated_raw_bw_MBps,notes
MJPG,"Motion-JPEG, compressed",yes,1600,1200,1.920,variable,15.000,0.067000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,1600,1200,1.920,variable,15.000,0.067000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,3264,2448,7.990,variable,15.000,0.067000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,2592,1944,5.039,variable,15.000,0.067000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,2048,1536,3.146,variable,15.000,0.067000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,1280,960,1.229,variable,15.000,0.067000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,1024,768,0.786,variable,30.000,0.033000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,800,600,0.480,variable,30.000,0.033000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,640,480,0.307,variable,30.000,0.033000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,320,240,0.077,variable,30.000,0.033000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,1600,1200,1.920,variable,15.000,0.067000,variable,variable,compressed or driver-specific
MJPG,"Motion-JPEG, compressed",yes,1600,1200,1.920,variable,15.000,0.067000,variable,variable,compressed or driver-specific
YUYV,YUYV 4:2:2,no,1600,1200,1.920,16,10.000,0.100000,307.200,38.400,raw estimate
YUYV,YUYV 4:2:2,no,1600,1200,1.920,16,10.000,0.100000,307.200,38.400,raw estimate
YUYV,YUYV 4:2:2,no,3264,2448,7.990,16,2.000,0.500000,255.689,31.961,raw estimate
YUYV,YUYV 4:2:2,no,2592,1944,5.039,16,3.000,0.333000,241.865,30.233,raw estimate
YUYV,YUYV 4:2:2,no,2048,1536,3.146,16,3.000,0.333000,150.995,18.874,raw estimate
YUYV,YUYV 4:2:2,no,1280,960,1.229,16,10.000,0.100000,196.608,24.576,raw estimate
YUYV,YUYV 4:2:2,no,1024,768,0.786,16,10.000,0.100000,125.829,15.729,raw estimate
YUYV,YUYV 4:2:2,no,800,600,0.480,16,30.000,0.033000,230.400,28.800,raw estimate
YUYV,YUYV 4:2:2,no,640,480,0.307,16,30.000,0.033000,147.456,18.432,raw estimate
YUYV,YUYV 4:2:2,no,320,240,0.077,16,30.000,0.033000,36.864,4.608,raw estimate
YUYV,YUYV 4:2:2,no,1600,1200,1.920,16,10.000,0.100000,307.200,38.400,raw estimate
YUYV,YUYV 4:2:2,no,1600,1200,1.920,16,10.000,0.100000,307.200,38.400,raw estimate
